material type,SA,TPV,C,H,N,O,T,P,CO2
Microporous,976.0,1.07,40.18,4.46,42.16,5.25,0,1.0,4.295
Microporous,976.0,1.07,40.18,4.46,42.16,5.25,25,1.0,2.795
Microporous,807.0,,,,,,0,1.0,3.0
Microporous,513.0,,,,,,0,1.0,2.159
Hierarchical,870.0,0.83,64.38,4.17,9.79,,0,1.0,3.363
Hierarchical,870.0,0.83,64.38,4.17,9.79,,25,1.0,2.25
Hierarchical,639.0,0.52,62.49,4.0,9.05,,0,1.0,2.977
Hierarchical,639.0,0.52,62.49,4.0,9.05,,25,1.0,1.522
Hierarchical,548.0,0.5,60.61,3.9,8.79,,0,1.0,2.204
Hierarchical,548.0,0.5,60.61,3.9,8.79,,25,1.0,1.023
Mesoporous,232.0,0.55,29.08,6.22,16.57,,0,1.0,2.318
Mesoporous,232.0,0.55,29.08,6.22,16.57,,25,1.0,1.136
Mesoporous,339.0,0.47,19.07,5.66,11.13,,0,1.0,1.84
Mesoporous,339.0,0.47,19.07,5.66,11.13,,25,1.0,0.977
Mesoporous,625.0,0.31,13.14,6.16,7.34,,0,1.0,1.878
Mesoporous,625.0,0.31,13.14,6.16,7.34,,25,1.0,0.93
Mesoporous,1085.0,0.62,11.6,5.82,6.14,,0,1.0,2.114
Mesoporous,1085.0,0.62,11.6,5.82,6.14,,25,1.0,1.068
Mesoporous,1304.0,0.78,9.48,5.57,4.95,,0,1.0,2.636
Mesoporous,1304.0,0.78,9.48,5.57,4.95,,25,1.0,1.318
Mesoporous,1131.0,1.02,8.48,4.72,4.48,,0,1.0,2.295
Mesoporous,1131.0,1.02,8.48,4.72,4.48,,25,1.0,1.023
Hierarchical,1328.0,1.3,62.79,3.91,10.27,,0,1.0,5.182
Hierarchical,1328.0,1.3,62.79,3.91,10.27,,25,1.0,3.204
Hierarchical,1070.0,0.67,63.37,3.78,8.96,,0,1.0,4.159
Hierarchical,1070.0,0.67,63.37,3.78,8.96,,25,1.0,2.386
Hierarchical,960.0,0.67,62.12,3.77,8.74,,0,1.0,3.727
Hierarchical,960.0,0.67,62.12,3.77,8.74,,25,1.0,2.023
Macroporous,499.0,0.29,,,,,0,1.0,1.86
Macroporous,499.0,0.29,,,,,25,1.0,1.34
Macroporous,637.0,0.348,,,,,0,1.0,2.85
Macroporous,637.0,0.348,,,,,25,1.0,1.98
Macroporous,851.0,0.434,,,,,0,1.0,3.49
Macroporous,851.0,0.43,,,,,25,1.0,2.47
Mesoporous,23.6,,,,,,0,1.0,1.18
Mesoporous,23.6,,,,,,25,1.0,0.62
Mesoporous,27.3,,,,,,0,1.0,1.32
Mesoporous,27.3,,,,,,25,1.0,0.74
,,,,,,,25,1.0,0.1
Mesoporous,360.0,0.76,,,,,25,1.0,0.19
Mesoporous,230.0,0.44,,,,,25,1.0,0.56
Mesoporous,240.0,0.44,,,,,25,1.0,0.6
Microporous,1730.0,0.78,72.4,2.03,13.3,,0,0.15,1.67
Microporous,1730.0,0.78,72.4,2.03,13.3,,0,1.0,5.74
Microporous,1730.0,0.78,72.4,2.03,13.3,,25,0.15,0.86
Microporous,1730.0,0.78,72.4,2.03,13.3,,25,1.0,3.35
Microporous,1580.0,0.7,72.7,2.31,12.8,,0,0.15,1.6
Microporous,1580.0,0.7,72.7,2.31,12.8,,0,1.0,5.17
Microporous,1580.0,0.7,72.7,2.31,12.8,,25,0.15,0.85
Microporous,1580.0,0.7,72.7,2.31,12.8,,25,1.0,3.05
Hierarchical,417.0,0.39,52.63,6.02,18.93,18.24,0,1.0,5.88
Hierarchical,417.0,0.39,52.63,6.02,18.93,18.2,25,1.0,3.99
Microporous,937.0,0.57,62.99,3.01,12.51,17.49,0,1.0,8.43
Microporous,937.0,0.57,62.99,3.01,12.51,17.49,25,1.0,6.51
Microporous,725.0,1.99,79.9,,9.5,10.1,0,1.0,4.32
Microporous,725.0,1.99,79.9,,9.5,10.1,25,1.0,3.7
Microporous,725.0,1.99,79.9,,9.5,10.1,25,0.1,1.17
Hierarchical,1340.0,1.27,74.6,,10.1,10.0,0,1.0,7.44
Hierarchical,1340.0,1.27,74.6,,10.1,10.0,25,1.0,4.75
Hierarchical,1340.0,1.27,74.6,,10.1,10.0,25,0.1,1.23
Microporous,5.0,0.03,69.46,1.54,16.61,,0,1.0,1.25
Microporous,5.0,0.03,69.46,1.54,16.61,,25,1.0,1.02
Microporous,759.0,0.36,78.36,2.35,8.48,,0,1.0,4.21
Microporous,759.0,0.36,78.36,2.35,8.48,,25,1.0,3.51
Microporous,1520.0,0.92,73.5,,15.4,9.6,25,1.0,2.1
Microporous,870.0,0.59,65.4,,20.6,11.9,25,1.0,1.5
Microporous,192.0,0.09,72.9,3.1,7.5,12.0,25,1.0,2.29
Microporous,798.0,0.34,66.7,3.6,7.0,17.0,25,1.0,3.56
Microporous,503.0,0.24,69.1,4.1,8.5,16.8,25,1.0,2.68
Microporous,718.0,0.33,71.4,3.7,7.7,16.7,25,1.0,3.34
Mesoporous,1266.0,0.69,66.6,,14.9,18.4,0,0.15,2.99
Mesoporous,1266.0,0.69,66.6,,14.9,18.4,25,0.15,1.788
Mesoporous,1266.0,0.69,66.6,,14.9,18.4,0,1.0,6.3
Mesoporous,1266.0,0.69,66.6,,14.9,18.4,25,1.0,4.62
Mesoporous,2013.0,1.173,68.0,,15.1,16.9,0,0.15,3.714
Mesoporous,2013.0,1.173,68.0,,15.1,16.9,25,0.15,2.15
Mesoporous,2013.0,1.173,68.0,,15.1,16.9,0,1.0,8.59
Mesoporous,2013.0,1.173,68.0,,15.1,16.9,25,1.0,6.06
Mesoporous,1400.0,0.78,68.1,,15.5,16.4,0,0.15,2.69
Mesoporous,1400.0,0.78,68.1,,15.5,16.4,25,0.15,1.5
Mesoporous,1400.0,0.78,68.1,,15.5,16.4,0,1.0,6.24
Mesoporous,1400.0,0.78,68.1,,15.5,16.4,25,1.0,4.05
Mesoporous,1398.0,0.88,68.2,,15.3,16.5,0,0.15,3.46
Mesoporous,1398.0,0.88,68.2,,15.3,16.5,25,0.15,2.05
Mesoporous,1398.0,0.88,68.2,,15.3,16.5,0,1.0,7.219
Mesoporous,1398.0,0.88,68.2,,15.3,16.5,25,1.0,4.96
Microporous,2541.3,1.52,81.52,0.98,9.65,7.85,0,0.15,1.37
Microporous,2541.3,1.52,81.52,0.98,9.65,7.85,0,1.0,4.54
Microporous,2541.3,1.52,81.52,0.98,9.65,7.85,25,0.15,0.78
Microporous,2541.3,1.52,81.52,0.98,9.65,7.85,25,1.0,2.86
Microporous,1241.7,0.68,75.72,1.02,14.52,8.68,0,0.15,1.67
Microporous,1241.7,0.68,75.72,1.02,14.52,8.68,0,1.0,4.17
Microporous,1241.7,0.68,75.72,1.02,14.52,8.68,25,0.15,0.97
Microporous,1241.7,0.68,75.72,1.02,14.52,8.68,25,1.0,2.75
Microporous,1172.1,0.59,75.35,1.12,16.28,7.25,0,0.15,1.82
Microporous,1172.1,0.59,75.35,1.12,16.28,7.25,0,1.0,4.26
Microporous,1172.1,0.59,75.35,1.12,16.28,7.25,25,0.15,0.81
Microporous,1172.1,0.59,75.35,1.12,16.28,7.25,25,1.0,2.12
Microporous,1082.0,2.578,,,9.44,12.65,0,1.0,5.36
Microporous,1082.0,2.578,,,9.44,12.65,25,1.0,3.78
Microporous,1082.0,2.578,,,9.44,12.65,25,0.15,1.29
Microporous,1793.0,0.865,,,8.02,10.86,0,1.0,7.6
Microporous,1793.0,0.865,,,8.02,10.86,25,1.0,5.01
Microporous,1793.0,0.865,,,8.02,10.86,25,0.15,1.38
Microporous,1064.0,0.5356,70.4,1.2,10.2,16.0,0,1.0,4.57
Microporous,1064.0,0.5356,70.4,1.2,10.2,16.0,25,1.0,2.96
Microporous,567.0,0.2981,69.2,1.2,12.7,14.3,0,1.0,2.7
Microporous,567.0,0.2981,69.2,1.2,12.7,14.3,25,1.0,1.94
Microporous,855.0,0.45,64.76,3.87,13.05,,0,1.0,4.19
Microporous,855.0,0.45,64.76,3.87,13.05,,25,1.0,3.33
Microporous,1338.0,0.68,66.54,4.01,11.32,,0,1.0,5.03
Microporous,1338.0,0.68,66.54,4.01,11.32,,25,1.0,3.57
Microporous,1655.0,0.78,68.54,4.92,9.84,,0,1.0,5.61
Microporous,1655.0,0.78,68.54,4.92,9.84,,25,1.0,3.77
Microporous,278.0,0.15,58.18,3.86,16.07,,25,1.0,2.02
Microporous,278.0,0.15,58.18,3.86,16.07,,0,1.0,2.55
Microporous,895.0,0.43,57.94,3.59,15.51,,25,1.0,2.74
Microporous,895.0,0.43,57.94,3.59,15.51,,0,1.0,3.76
Microporous,435.0,0.22,59.64,3.12,15.23,,25,1.0,2.06
Microporous,435.0,0.22,59.64,3.12,15.23,,0,1.0,2.72
Microporous,1070.0,0.57,59.11,3.82,13.97,,25,1.0,2.86
Microporous,1070.0,0.57,59.11,3.82,13.97,,0,1.0,4.28
Microporous,768.0,0.37,60.65,3.41,14.72,,25,1.0,2.88
Microporous,768.0,0.37,60.65,3.41,14.72,,0,1.0,4.25
Microporous,1658.0,0.96,64.13,4.04,13.38,,25,1.0,3.3
Microporous,1658.0,0.96,64.13,4.04,13.38,,0,1.0,4.95
Microporous,554.0,0.28,58.26,2.6,11.64,,25,1.0,2.54
Microporous,554.0,0.28,58.26,2.6,11.64,,0,1.0,3.226
Microporous,1373.0,0.87,60.34,2.98,9.67,,25,1.0,2.47
Microporous,1373.0,0.87,60.34,2.98,9.67,,0,1.0,3.79
Microporous,540.0,0.24,63.01,2.84,15.21,,25,1.0,2.87
Microporous,540.0,0.24,63.01,2.84,15.21,,0,1.0,3.69
Microporous,749.0,0.46,64.87,2.34,13.35,,25,1.0,3.18
Microporous,749.0,0.46,64.87,2.34,13.35,,0,1.0,4.37
Microporous,772.0,0.35,62.31,3.4,11.23,,25,1.0,3.18
Microporous,772.0,0.35,62.31,3.4,11.23,,0,1.0,4.4
Microporous,1323.0,0.58,65.98,3.63,11.78,,25,1.0,3.61
Microporous,1323.0,0.58,65.98,3.63,11.78,,0,1.0,5.5
Microporous,1545.0,0.7,69.68,4.1,8.54,,25,1.0,3.83
Microporous,1545.0,0.7,69.68,4.1,8.54,,0,1.0,5.84
Microporous,434.0,0.25,52.93,3.81,9.55,,0,1.0,1.95
Microporous,434.0,0.25,52.93,3.81,9.55,,0,0.1,0.61
Microporous,434.0,0.25,52.93,3.81,9.55,,25,1.0,1.11
Hierarchical,188.0,0.34,81.4,0.6,12.0,,0,1.0,3.11
Hierarchical,188.0,0.34,81.4,0.6,12.0,,25,1.0,2.3
Microporous,5.0,0.02,60.1,5.24,17.14,,25,1.0,0.67
Microporous,5.0,0.02,60.1,5.24,17.14,,0,1.0,1.01
Microporous,821.0,0.42,65.54,2.14,12.17,,25,1.0,3.99
Microporous,821.0,0.42,65.54,2.14,12.17,,0,1.0,5.33
Microporous,1267.0,0.54,64.89,2.15,11.93,,25,1.0,4.24
Microporous,1267.0,0.54,64.89,2.15,11.93,,0,1.0,6.23
Microporous,1398.0,0.6,63.54,2.16,11.67,,25,1.0,4.02
Microporous,1398.0,0.6,63.54,2.16,11.67,,0,1.0,6.11
Microporous,1412.0,0.63,62.21,2.12,11.23,,25,1.0,3.93
Microporous,1412.0,0.63,62.21,2.12,11.23,,0,1.0,5.9
Microporous,1734.0,0.78,75.01,1.41,9.24,,25,1.0,4.26
Microporous,1734.0,0.78,75.01,1.41,9.24,,0,1.0,6.7
Microporous,1960.0,0.9,74.32,1.35,8.56,,25,1.0,4.23
Microporous,1960.0,0.9,74.32,1.35,8.56,,0,1.0,6.14
Microporous,1824.0,0.92,71.66,1.97,7.74,,25,1.0,3.92
Microporous,1824.0,0.92,71.66,1.97,7.74,,0,1.0,6.23
Microporous,65.0,0.09,60.11,2.46,20.66,,25,1.0,1.82
Microporous,65.0,0.09,60.11,2.46,20.66,,0,1.0,2.4
Microporous,933.0,0.45,66.51,2.33,12.27,,25,1.0,3.43
Microporous,933.0,0.45,66.51,2.33,12.27,,0,1.0,4.8
Microporous,1005.0,0.46,65.31,2.38,12.21,,25,1.0,3.46
Microporous,1005.0,0.46,65.31,2.38,12.21,,0,1.0,4.84
Microporous,1170.0,0.53,63.67,2.42,11.81,,25,1.0,3.74
Microporous,1170.0,0.53,63.67,2.42,11.81,,0,1.0,5.32
Microporous,1754.0,0.83,69.83,2.14,10.51,,25,1.0,3.69
Microporous,1754.0,0.83,69.83,2.14,10.51,,0,1.0,5.45
Microporous,1699.0,0.89,70.32,1.98,9.54,,25,1.0,3.65
Microporous,1699.0,0.89,70.32,1.98,9.54,,0,1.0,5.87
Hierarchical,63.0,0.46,78.33,1.08,12.94,,25,1.0,0.46
Hierarchical,63.0,0.46,78.33,1.08,12.94,,0,1.0,0.54
Microporous,780.17,0.39,76.83,0.87,11.18,11.12,25,1.0,3.1
Hierarchical,2231.24,1.16,86.12,0.81,8.13,4.94,25,1.0,4.4
Hierarchical,49.0,0.04,43.38,1.96,10.6,44.06,25,1.0,1.21
Hierarchical,49.0,0.04,43.38,1.96,10.6,44.06,0,1.0,1.52
Hierarchical,49.0,0.04,43.38,1.96,10.6,44.06,25,0.15,0.45
Hierarchical,49.0,0.04,43.38,1.96,10.6,44.06,0,0.15,0.88
Microporous,273.0,0.19,46.52,1.55,9.32,42.61,25,1.0,1.78
Microporous,273.0,0.19,46.52,1.55,9.32,42.61,0,1.0,2.14
Microporous,273.0,0.19,46.52,1.55,9.32,42.61,25,0.15,0.69
Microporous,273.0,0.19,46.52,1.55,9.32,42.61,0,0.15,0.65
Microporous,481.0,0.27,52.01,1.92,8.75,37.32,25,1.0,1.83
Microporous,481.0,0.27,52.01,1.92,8.75,37.32,0,1.0,2.62
Microporous,481.0,0.27,52.01,1.92,8.75,37.32,25,0.15,0.67
Microporous,481.0,0.27,52.01,1.92,8.75,37.32,0,0.15,0.82
Microporous,48.06,0.19,66.66,5.27,13.01,,0,1.0,1.06
Microporous,48.06,0.19,66.66,5.27,13.01,,25,1.0,0.7
Microporous,161.06,0.18,72.96,2.98,12.84,,0,1.0,1.93
Microporous,161.06,0.18,72.96,2.98,12.84,,25,1.0,1.36
Microporous,270.64,0.24,77.49,1.95,10.22,,0,1.0,2.77
Microporous,270.64,0.24,77.49,1.95,10.22,,25,1.0,2.06
Microporous,339.0,0.26,77.56,1.02,8.24,,0,1.0,2.96
Microporous,339.0,0.26,77.56,1.02,8.24,,25,1.0,2.24
Hierarchical,1109.0,1.58,77.8,,10.6,10.7,0,1.0,3.54
Hierarchical,1109.0,1.58,77.8,,10.6,10.7,25,1.0,2.66
Hierarchical,1150.0,1.15,71.8,,14.5,12.6,0,1.0,3.96
Hierarchical,1150.0,1.15,71.8,,14.5,12.6,25,1.0,2.99
Microporous,2251.04,1.04,85.08,,9.49,5.43,25,1.0,5.51
Microporous,1889.63,0.87,82.68,,13.9,3.42,25,1.0,5.63
Microporous,1462.71,0.74,67.74,,9.07,23.19,25,1.0,3.64
Microporous,1826.96,0.96,82.14,,12.61,5.25,25,1.0,3.73
Microporous,855.0,0.45,64.76,3.87,13.05,,25,1.0,3.33
Microporous,855.0,0.45,64.76,3.87,13.05,,0,1.0,4.19
Microporous,1338.0,0.68,66.54,4.01,11.32,,25,1.0,3.57
Microporous,1338.0,0.68,66.54,4.01,11.32,,0,1.0,5.03
Microporous,1655.0,0.78,68.54,4.92,9.84,,25,1.0,3.77
Microporous,1655.0,0.78,68.54,4.92,9.84,,0,1.0,5.61
Microporous,581.0,0.35,67.78,1.24,11.48,19.5,25,1.0,2.55
Microporous,447.0,0.22,71.9,1.37,11.5,15.48,25,1.0,1.48
Microporous,447.0,0.22,71.9,1.37,11.5,15.48,25,1.0,1.48
Microporous,1012.0,0.44,75.5,0.95,8.01,,25,1.0,3.0
Microporous,1012.0,0.44,75.5,0.95,8.01,,0,1.0,4.8
Mesoporous,537.0,0.47,65.31,2.71,13.1,,25,1.0,2.8
Microporous,486.0,0.42,58.16,3.35,9.33,29.16,0,1.0,2.73
Microporous,486.0,0.42,58.16,3.35,9.33,29.16,0,0.15,1.09
Microporous,650.0,0.53,57.53,3.51,11.33,27.63,0,1.0,3.29
Microporous,650.0,0.53,57.53,3.51,11.33,27.63,0,0.15,1.41
Microporous,394.0,0.27,67.94,3.27,8.48,20.31,0,1.0,2.84
Microporous,394.0,0.27,67.94,3.27,8.48,20.31,0,0.15,1.39
Microporous,798.0,0.54,58.94,3.68,9.05,28.33,0,1.0,3.86
Microporous,798.0,0.54,58.94,3.68,9.05,28.33,0,0.15,1.68
Microporous,1518.0,1.11,58.81,2.24,9.71,29.24,0,1.0,4.7
Microporous,1518.0,1.11,58.81,2.24,9.71,29.24,0,0.15,1.59
Hierarchical,1574.0,1.5,59.7,1.24,11.3,,0,1.0,5.98
Hierarchical,1574.0,1.5,59.7,1.24,11.3,,25,1.0,3.82
Hierarchical,1126.0,1.56,59.4,1.97,10.2,,0,1.0,5.23
Hierarchical,1126.0,1.56,59.4,1.97,10.2,,25,1.0,3.16
Microporous,862.0,0.5,71.98,1.1,14.48,12.44,0,1.0,4.5
Microporous,862.0,0.5,71.98,1.1,14.48,12.44,25,1.0,2.91
Hierarchical,1023.0,0.686,86.6,1.0,8.1,4.3,25,1.0,1.73
Hierarchical,283.0,0.79,57.78,2.34,35.73,4.15,25,1.0,1.86
Hierarchical,336.0,0.7,53.61,2.34,37.72,6.34,25,1.0,1.86
Hierarchical,302.0,0.71,52.36,2.13,39.77,5.74,25,1.0,1.86
Hierarchical,284.0,0.58,50.31,2.34,40.88,6.47,25,1.0,7.81
Hierarchical,520.0,1.06,56.17,1.92,30.97,10.94,25,1.0,2.16
Hierarchical,490.0,0.91,53.81,1.92,32.31,11.96,25,1.0,2.25
Hierarchical,488.0,0.99,51.89,1.81,33.92,12.38,25,1.0,2.0
Hierarchical,476.0,0.72,51.67,1.81,34.45,12.08,25,1.0,2.07
Hierarchical,829.0,1.66,63.7,1.6,24.73,9.97,25,1.0,2.09
Hierarchical,791.0,1.3,60.26,1.49,26.25,12.0,25,1.0,2.16
Hierarchical,876.0,1.64,62.52,1.38,27.37,8.73,25,1.0,2.02
Hierarchical,818.0,1.05,58.96,1.49,27.31,12.25,25,1.0,2.09
Hierarchical,639.0,0.35,56.13,27.5,11.56,4.81,25,1.0,3.2
Microporous,1095.0,1.06,82.19,4.11,13.7,,0,1.0,3.93
Microporous,1095.0,1.06,82.19,4.11,13.7,,25,1.0,2.26
Microporous,923.0,0.69,80.23,3.88,15.89,,0,1.0,3.35
Microporous,923.0,0.69,80.23,3.88,15.89,,25,1.0,1.92
Mesoporous,890.0,0.68,,,18.78,,25,0.2,1.05
Mesoporous,890.0,0.68,,,18.78,,25,1.0,2.21
Mesoporous,925.0,0.75,,,16.09,,25,0.2,0.81
Mesoporous,925.0,0.75,,,16.09,,25,1.0,1.81
Microporous,1107.0,0.69,,,12.8,,25,0.2,1.38
Microporous,1107.0,0.69,,,12.8,,25,1.0,3.68
Microporous,1181.0,0.73,,,12.91,,25,0.2,1.75
Microporous,1181.0,0.73,,,12.91,,25,1.0,4.5
Hierarchical,550.0,0.9,69.0,3.0,17.8,10.2,25,1.0,2.9
Microporous,848.0,0.451,90.57,0.0,9.43,0.0,0,1.0,2.89
Microporous,848.0,0.451,90.57,0.0,9.43,0.0,25,1.0,2.2
Microporous,766.0,0.403,83.02,0.0,16.98,0.0,0,1.0,3.64
Microporous,766.0,0.403,83.02,0.0,16.98,0.0,25,1.0,2.11
Microporous,751.0,0.387,89.63,0.0,10.37,0.0,0,1.0,3.55
Microporous,751.0,0.387,89.63,0.0,10.37,0.0,25,1.0,2.23
Mesoporous,540.0,,72.8,4.9,19.5,,25,1.0,2.43
Mesoporous,526.0,,67.4,21.9,4.8,,25,1.0,2.48
Mesoporous,514.0,,66.8,26.1,4.7,,25,1.0,2.53
Microporous,614.0,,65.1,,10.5,,25,0.1,1.62
Microporous,614.0,,65.1,,10.5,,25,1.0,4.04
Microporous,1004.0,,68.8,,12.9,,25,0.1,1.03
Microporous,1004.0,,68.8,,12.9,,25,1.0,4.03
Mesoporous,726.0,,67.8,,17.4,,25,0.1,0.84
Mesoporous,726.0,,67.8,,17.4,,25,1.0,2.34
